GeoName,2012,2013,2014,2015,2016
Illinois,7438314,7506378,7617864,7752150,7824152
Adams,42929,42761,42914,42624,42446
Alexander,2672,2547,2411,2268,2177
Bond,7139,7440,7374,7375,7399
Boone,21818,22379,22565,23092,23208
Brown,4386,4531,4767,4931,5029
Bureau,16507,16505,16536,16151,16498
Calhoun,1844,1791,1767,1730,1742
Carroll,6911,6912,6784,6959,6847
Cass,8027,7664,7791,8004,7602
Champaign,123374,124035,125338,127168,127014
Christian,15541,15366,15284,15021,14898
Clark,7387,7606,7737,7934,7946
Clay,7705,7577,7691,7837,7862
Clinton,16702,16644,16755,16898,16723
Coles,31101,31111,31921,31542,31883
Cook,3263565,3303949,3368829,3464790,3513899
Crawford,11918,11838,11731,11673,11032
Cumberland,4333,4257,4375,4506,4513
DeKalb,51352,51669,52437,53321,53517
De Witt,7376,7404,7377,7579,7358
Douglas,11666,11860,12057,12187,12367
DuPage,735565,757855,773827,782407,792793
Edgar,8435,8505,8776,9179,9453
Edwards,3884,3749,3754,3875,3885
Effingham,26977,26838,27610,27408,27719
Fayette,8772,9024,8929,8607,8476
Ford,6879,6838,6730,6842,6803
Franklin,14025,13627,13495,13271,13133
Fulton,12515,12401,12484,12507,12556
Gallatin,2057,2018,2229,2221,2202
Greene,4817,4672,4602,4421,4397
Grundy,22267,22507,23304,24560,24953
Hamilton,3329,3530,3776,3805,3656
Hancock,7556,7378,7339,7282,7230
Hardin,1544,1547,1562,1421,1365
Henderson,2207,2191,2274,2248,2208
Henry,20426,20480,20773,20782,20999
Iroquois,13269,13374,13284,13195,13110
Jackson,36842,36198,36191,36287,35908
Jasper,4700,4635,4516,4547,4563
Jefferson,25048,25444,25608,25450,26045
Jersey,7534,7585,7575,7621,7753
Jo Daviess,12341,12353,12397,12405,12344
Johnson,4025,3940,4033,4009,3994
Kane,254707,260923,265092,269430,270945
Kankakee,54745,55039,55289,55478,55497
Kendall,37853,37985,39262,40702,40989
Knox,26696,26545,26708,26494,26255
Lake,450677,454698,458456,462819,465116
LaSalle,55634,55703,55791,56133,55663
Lawrence,6324,6156,6274,6381,6384
Lee,16497,16666,17055,17043,17011
Livingston,18531,18551,18700,18765,18553
Logan,12637,12325,12460,12433,12496
McDonough,17381,17046,16876,16664,16320
McHenry,135646,136175,138413,138864,140283
McLean,113305,111635,110863,112563,111871
Macon,64464,62886,62926,62865,62997
Macoupin,16518,16272,16316,16353,16564
Madison,125703,125992,128361,129674,130675
Marion,19593,19388,19484,19525,19368
Marshall,4748,4653,4704,4664,4644
Mason,5216,5213,5272,5184,5022
Massac,5482,5284,5209,5344,5247
Menard,3964,3788,3768,3739,3631
Mercer,5558,5559,5587,5528,5342
Monroe,12990,12913,12649,12750,12900
Montgomery,13226,13006,12781,12630,12774
Morgan,18934,18982,19036,19169,19101
Moultrie,6163,6177,6297,6541,6545
Ogle,22842,22644,23030,23306,23303
Peoria,125500,123731,122441,123512,122619
Perry,7419,7348,7392,7337,7155
Piatt,5802,5754,5819,5791,5817
Pike,7018,6990,7133,7116,6997
Pope,1353,1319,1335,1363,1368
Pulaski,2640,2441,2465,2417,2396
Putnam,2391,2367,2466,2515,2647
Randolph,15646,15675,15695,15788,15925
Richland,9428,9623,9453,9520,9519
Rock Island,92556,91557,91189,89771,89250
St. Clair,127557,126796,126259,127392,128047
Saline,13240,12826,12741,12392,11819
Sangamon,124098,122902,124717,126400,126942
Schuyler,3357,3392,3150,3111,2926
Scott,1937,1907,1934,1921,1868
Shelby,8533,8490,8575,8490,8628
Stark,2348,2333,2299,2378,2366
Stephenson,25129,24514,24241,23863,23768
Tazewell,76366,72960,73201,71817,70484
Union,7049,6984,7027,7019,7182
Vermilion,38029,37179,37501,37566,36894
Wabash,5553,5652,5786,5811,5712
Warren,8641,8756,8720,8707,8716
Washington,8776,8396,8489,8865,9031
Wayne,8510,8595,8369,8490,8199
White,8265,8248,8326,8239,8100
Whiteside,28190,28463,28973,28242,28201
Will,284012,294446,300300,310236,320604
Williamson,35831,35478,35985,36830,37861
Winnebago,161971,160600,163382,164176,164435
Woodford,15868,15917,16333,16094,15675