county,income,employment_rate,population,crime,housevalue,lat,long
Adams,2810914,42446,66578,195,110800,39.986052,-91.194961
Boone,2253951,23208,53503,195,150400,42.318983,-88.824295
Champaign,8926464,127014,208419,765,137100,40.13898,-88.196996
Clark,606483,7946,15938,44,70000,39.332364,-87.791687
Clay,471764,7862,13300,60,65800,38.746832,-88.482344
Coles,1903948,31883,52343,118,83600,39.51368,-88.220782
Cook,294875826,3513899,5203499,856,214400,41.894294,-87.645455
Effingham,1523708,27719,34386,179,124300,39.047945,-88.592849
Ford,669842,6803,13575,103,81000,40.596539,-88.224588
Gallatin,223612,2202,5212,30,84800,37.768677,-88.227964
Grundy,2421170,24953,50437,157,177000,41.29241,-88.401054
Henry,2110100,20999,49280,50,103600,41.35002,-90.130838
Iroquois,1184622,13110,28334,185,83400,40.748867,-87.833601
Jackson,2008935,35908,58870,263,87100,37.786096,-89.381212
Kane,24566385,270945,531715,591,217800,41.939594,-88.42804
Kankakee,4199107,55497,110008,411,121100,41.13951,-87.861117
Kendall,5555452,40989,124695,258,226900,41.58814,-88.430626
Knox,1957960,26255,50938,188,73500,40.93094,-90.213761
Lake,51291371,465116,703047,1145,233500,42.326444,-87.436118
Livingston,1477511,18553,36526,202,89800,40.894376,-88.552852
Macon,4742238,62997,106550,245,58200,39.860237,-88.961529
McDonough,1072045,16320,30996,50,71200,40.455808,-90.678954
McHenry,15427535,140283,307004,349,205100,42.324298,-88.452245
McLean,7882623,111871,172418,119,142400,40.494559,-88.844539
Morgan,1290164,19101,34277,125,85400,39.7183,-90.202543
Peoria,8819746,122619,185006,934,99700,40.785995,-89.767106
Rock Island,6034217,89250,144784,345,94000,41.468404,-90.5722
Sangamon,8793346,126942,197499,753,121800,39.757258,-89.662032
Stephenson,1799562,23768,45624,172,87200,42.349726,-89.665994
Tazewell,5911752,70484,134385,211,119000,40.508074,-89.51626
Warren,640826,8716,17378,77,64100,40.850441,-90.620223
Whiteside,2262831,28201,56536,98,88700,41.750571,-89.910957
Will,33097580,320604,689529,1024,210600,41.448474,-87.97845
Williamson,2759830,37861,67560,306,99200,37.730353,-88.930018
Winnebago,11407382,164435,285873,1008,99500,42.337396,-89.161205