state,2010,2011,2012,2013,2014,2015,2016
Adams,67155,67207,67164,66997,67031,66974,66578
Alexander,8214,8018,7712,7215,7074,6776,6478
Bond,17771,17675,17508,17320,17111,16924,16824
Boone,54127,54168,53802,53779,53706,53490,53503
Brown,6913,6871,6894,6863,6838,6821,6762
Bureau,34922,34660,34350,34096,33836,33471,33359
Calhoun,5081,5067,5021,5036,4963,4898,4894
Carroll,15382,15221,15075,14939,14786,14628,14539
Cass,13632,13634,13411,13292,13091,12869,12676
Champaign,201497,202688,203937,205365,206646,207734,208419
Christian,34785,34724,34520,34183,33882,33546,33309
Clark,16299,16219,16301,16145,16119,15943,15938
Clay,13811,13725,13717,13522,13413,13378,13300
Clinton,37827,38148,38071,37879,37801,37809,37729
Coles,53895,53601,53344,53046,52712,52563,52343
Cook,5199500,5214682,5230016,5240283,5239254,5224823,5203499
Crawford,19810,19784,19621,19495,19368,19413,19308
Cumberland,11047,11080,10942,10901,10894,10857,10858
DeKalb,105176,104364,104276,104148,104798,104541,104528
De Witt,16588,16547,16497,16385,16243,16260,16226
Douglas,19956,19828,19822,19800,19845,19753,19630
DuPage,918144,924245,927668,931296,932419,931819,929368
Edgar,18510,18412,18174,17943,17812,17644,17566
Edwards,6728,6682,6726,6671,6622,6520,6523
Effingham,34225,34284,34351,34312,34337,34396,34386
Fayette,22131,22373,22130,22145,22002,22059,21789
Ford,14077,13945,13982,13803,13704,13726,13575
Franklin,40031,40012,39874,39574,39485,39427,39156
Fulton,37054,36950,36624,36375,35951,35750,35536
Gallatin,5586,5516,5419,5408,5308,5278,5212
Greene,13882,13851,13631,13511,13402,13313,13093
Grundy,50119,50073,50168,50177,50409,50499,50437
Hamilton,8452,8422,8372,8329,8295,8198,8061
Hancock,19085,19034,18893,18603,18621,18539,18508
Hardin,4305,4285,4263,4249,4217,4113,4024
Henderson,7332,7217,7049,6957,6985,6971,6869
Henry,50448,50316,50160,49831,49673,49459,49280
Iroquois,29677,29518,29300,28982,28804,28651,28334
Jackson,60381,60290,58962,59593,59293,59220,58870
Jasper,9708,9741,9646,9574,9615,9591,9536
Jefferson,38762,38759,38666,38657,38442,38390,38460
Jersey,22966,22872,22732,22620,22523,22306,22025
Jo,22648,22640,22496,22332,22298,22034,21770
Johnson,12609,12852,12912,12845,12834,12837,12902
Kane,516030,519723,521431,523590,526636,529702,531715
Kankakee,113447,113518,112976,112227,111461,110795,110008
Kendall,115383,116856,118344,119709,121565,122946,124695
Knox,52932,52693,52302,52149,51953,51416,50938
Lake,704348,700893,701220,703411,703357,703413,703047
LaSalle,113828,113671,113109,112687,111933,111304,110642
Lawrence,16927,16833,16682,16745,16595,16513,16377
Lee,35931,35518,35114,35008,34789,34427,34251
Livingston,38872,38840,38553,37444,37116,36749,36526
Logan,30274,30308,30388,29890,29755,29540,29527
McDonough,32607,32485,32516,32167,31615,31342,30996
McHenry,309119,307820,307529,306944,306749,307188,307004
McLean,169857,170789,172560,174777,173843,172673,172418
Macon,110779,110624,110083,109533,108479,107377,106550
Macoupin,47791,47797,47179,46851,46381,46089,45908
Madison,269384,268552,268083,267246,266637,266071,265759
Marion,39449,39004,38919,38594,38486,38378,38140
Marshall,12625,12492,12274,12115,11990,11980,11939
Mason,14651,14479,14346,14194,13920,13689,13507
Massac,15409,15325,15149,14974,14881,14752,14658
Menard,12706,12729,12726,12605,12578,12454,12516
Mercer,16415,16346,16190,16133,15964,15839,15730
Monroe,33010,33229,33321,33547,33684,33893,34068
Montgomery,30089,29841,29605,29329,29424,29196,28952
Morgan,35519,35526,35365,35027,34729,34605,34277
Moultrie,14858,14929,14984,14933,14911,14921,14827
Ogle,53443,53150,52834,52341,52067,51657,51273
Peoria,186218,186624,187121,188377,187272,186315,185006
Perry,22329,22289,21862,21742,21558,21458,21357
Piatt,16724,16692,16523,16444,16438,16380,16560
Pike,16386,16360,16261,16105,15974,15981,15950
Pope,4455,4493,4333,4338,4241,4204,4157
Pulaski,6134,6002,5968,5895,5808,5672,5619
Putnam,5999,5971,5880,5815,5788,5636,5611
Randolph,33459,33334,32987,33122,33092,32846,32621
Richland,16216,16227,16182,16097,16107,16043,15930
Rock,147631,147411,147638,147509,146789,145958,144784
St. Clair,270370,270001,268612,266807,265587,264079,262759
Saline,24933,24954,24970,24863,24580,24574,24307
Sangamon,197801,198905,199269,198973,198959,198496,197499
Schuyler,7542,7473,7458,7362,7238,7043,6923
Scott,5335,5232,5293,5208,5177,5114,5053
Shelby,22362,22307,22252,22177,22109,21801,21717
Stark,5969,5840,5937,5886,5836,5764,5776
Stephenson,47657,47365,46938,46721,46339,45791,45624
Tazewell,135478,135776,136111,136203,135567,134735,134385
Union,17746,17696,17639,17577,17463,17399,17212
Vermilion,81617,81380,80774,80495,79695,78990,78111
Wabash,11907,11819,11722,11628,11541,11554,11492
Warren,17712,17842,17736,17627,17809,17507,17378
Washington,14699,14602,14618,14432,14394,14246,14154
Wayne,16747,16630,16624,16608,16532,16427,16396
White,14611,14596,14562,14502,14343,14349,14292
Whiteside,58495,58235,57786,57446,57046,56963,56536
Will,678914,680501,682091,683474,685109,686687,689529
Williamson,66438,66741,66793,67387,67350,67589,67560
Winnebago,295106,293620,291934,290868,288639,287168,285873
Woodford,38657,38924,38943,39171,39204,39158,39140